code,fy,eps,bps,roe,debt,op_margin,net_margin,op_profit,revenue,dps
005930,202312,2131.0,52002.0,4.15,25.36,2.54,5.98,65670.0,2589355.0,1444.0
005930,202412,4950.0,57981.0,9.03,27.93,10.88,11.45,327260.0,3008709.0,1446.0
005930,202512,6564.0,63997.0,10.85,29.94,13.07,13.55,436011.0,3336059.0,1668.0
000660,202312,-12517.0,77752.0,-15.61,87.52,-23.59,-27.89,-77303.0,327657.0,1200.0
000660,202412,27182.0,107256.0,31.06,62.15,35.45,29.91,234673.0,661930.0,2204.0
000660,202512,58955.0,171751.0,44.15,45.95,48.59,44.21,472063.0,971467.0,3000.0
402340,202312,-9137.0,112264.0,-8.04,13.61,-102.69,-57.71,-23397.0,22785.0,
402340,202412,27346.0,142904.0,21.7,11.92,66.66,62.07,39206.0,58818.0,
402340,202512,66468.0,209564.0,37.82,9.01,84.14,84.34,87974.0,104556.0,
009150,202312,5450.0,103878.0,5.5,45.17,7.43,5.07,6605.0,88924.0,1150.0
009150,202412,8752.0,116340.0,8.16,41.89,7.14,6.83,7350.0,102941.0,1800.0
009150,202512,9099.0,126302.0,7.7,48.98,8.07,6.46,9133.0,113145.0,2350.0
373220,202312,5287.0,86328.0,6.35,86.42,6.41,4.85,21632.0,337455.0,
373220,202412,-4354.0,90240.0,-4.93,94.75,2.25,1.32,5754.0,256196.0,
373220,202512,-4585.0,86391.0,-5.19,129.0,5.69,0.34,13461.0,236718.0,
005380,202312,43589.0,351861.0,13.68,177.44,9.3,7.54,151269.0,1626636.0,11400.0
005380,202412,46042.0,413568.0,12.43,182.52,8.13,7.55,142396.0,1752312.0,12000.0
005380,202512,35331.0,439541.0,8.41,188.95,6.16,5.56,114679.0,1862545.0,10000.0
207940,202312,12051.0,138119.0,9.12,63.23,30.14,23.21,11137.0,36946.0,
207940,202412,15221.0,153212.0,10.45,58.98,37.78,30.98,13214.0,34971.0,
207940,202512,26572.0,161142.0,19.44,48.44,45.41,39.16,20692.0,45570.0,
032830,202312,9477.0,236324.0,4.95,609.68,7.75,6.57,23984.0,309370.0,3700.0
032830,202412,10534.0,201016.0,5.76,719.41,7.4,6.69,24998.0,337860.0,4500.0
